Date : 2026-03-09 15:19:32
Directory : c:\ProyectoVehiculos\ProyectoReformasVehiculos
Total : 118 files,  50311 codes, 865 comments, 3196 blanks, all 54372 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| TypeScript |         66 |     25,184 |      1,095 |      2,177 |     28,456 |
| HTML       |         31 |     20,279 |       -234 |        978 |     21,023 |
| JSON       |          9 |      4,702 |          0 |          1 |      4,703 |
| PostCSS    |         11 |         74 |          3 |         25 |        102 |
| JavaScript |          1 |         72 |          1 |         15 |         88 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                               | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                  |        118 |     50,311 |        865 |      3,196 |     54,372 |
| backend                                                                                                                                                                            |         10 |      4,774 |          1 |         16 |      4,791 |
| backend (Files)                                                                                                                                                                    |          3 |         93 |          1 |         15 |        109 |
| backend\memorias_tecnicas                                                                                                                                                          |          1 |        261 |          0 |          0 |        261 |
| backend\proyectos                                                                                                                                                                  |          6 |      4,420 |          0 |          1 |      4,421 |
| backend\proyectos\18_2026                                                                                                                                                          |          1 |        492 |          0 |          0 |        492 |
| backend\proyectos\2000_2026                                                                                                                                                        |          1 |      1,741 |          0 |          0 |      1,741 |
| backend\proyectos\22_2026                                                                                                                                                          |          1 |        524 |          0 |          1 |        525 |
| backend\proyectos\25_2026                                                                                                                                                          |          1 |        605 |          0 |          0 |        605 |
| backend\proyectos\26_2026                                                                                                                                                          |          1 |        512 |          0 |          0 |        512 |
| backend\proyectos\32_2026                                                                                                                                                          |          1 |        546 |          0 |          0 |        546 |
| reformas-app                                                                                                                                                                       |        108 |     45,537 |        864 |      3,180 |     49,581 |
| reformas-app\projects                                                                                                                                                              |         81 |     40,453 |        865 |      2,781 |     44,099 |
| reformas-app\projects\reformas-test                                                                                                                                                |         81 |     40,453 |        865 |      2,781 |     44,099 |
| reformas-app\projects\reformas-test\src                                                                                                                                            |         81 |     40,453 |        865 |      2,781 |     44,099 |
| reformas-app\projects\reformas-test\src (Files)                                                                                                                                    |          1 |          9 |          0 |          1 |         10 |
| reformas-app\projects\reformas-test\src\app                                                                                                                                        |         80 |     40,444 |        865 |      2,780 |     44,089 |
| reformas-app\projects\reformas-test\src\app (Files)                                                                                                                                |          7 |        464 |         -1 |         52 |        515 |
| reformas-app\projects\reformas-test\src\app\Funciones                                                                                                                              |          2 |      8,053 |        102 |        796 |      8,951 |
| reformas-app\projects\reformas-test\src\app\formulario-taller                                                                                                                      |          1 |        -26 |          4 |         12 |        -10 |
| reformas-app\projects\reformas-test\src\app\generador-documentos                                                                                                                   |          2 |        280 |         -8 |         31 |        303 |
| reformas-app\projects\reformas-test\src\app\generadores                                                                                                                            |          4 |        785 |         17 |         54 |        856 |
| reformas-app\projects\reformas-test\src\app\gestionar-arquitectos                                                                                                                  |          4 |        355 |          8 |         53 |        416 |
| reformas-app\projects\reformas-test\src\app\gestionar-ingeniero                                                                                                                    |          1 |        -20 |          5 |         15 |          0 |
| reformas-app\projects\reformas-test\src\app\gestionar-instaladores                                                                                                                 |          4 |        349 |          0 |         49 |        398 |
| reformas-app\projects\reformas-test\src\app\interfaces                                                                                                                             |          2 |        385 |          0 |         69 |        454 |
| reformas-app\projects\reformas-test\src\app\pages                                                                                                                                  |         31 |     14,824 |        -34 |        736 |     15,526 |
| reformas-app\projects\reformas-test\src\app\pagesVivienda                                                                                                                          |         22 |     14,995 |        772 |        913 |     16,680 |
| reformas-app\projects\reformas-test\src\app\pagesVivienda\funciones                                                                                                                |          1 |      5,801 |        212 |        306 |      6,319 |
| reformas-app\projects\reformas-test\src\app\pagesVivienda\gestor-documentacion                                                                                                     |          4 |      2,595 |          2 |        145 |      2,742 |
| reformas-app\projects\reformas-test\src\app\pagesVivienda\gestor-trello                                                                                                            |          4 |      1,109 |          0 |         79 |      1,188 |
| reformas-app\projects\reformas-test\src\app\pagesVivienda\memoria-tecnica-autoconsumo                                                                                              |          4 |      2,758 |        541 |        188 |      3,487 |
| reformas-app\projects\reformas-test\src\app\pagesVivienda\memoria-tecnica-diseno                                                                                                   |          4 |      1,275 |         17 |        104 |      1,396 |
| reformas-app\projects\reformas-test\src\app\pagesVivienda\memoria-tecnica-selector                                                                                                 |          1 |        129 |          0 |          4 |        133 |
| reformas-app\projects\reformas-test\src\app\pagesVivienda\memorias-lista                                                                                                           |          4 |      1,328 |          0 |         87 |      1,415 |
| reformas-app\projects\reformas-test\src\app\pages\admin-gestion-usuarios                                                                                                           |          4 |        228 |          0 |         27 |        255 |
| reformas-app\projects\reformas-test\src\app\pages\canva                                                                                                                            |          2 |        233 |        -26 |         35 |        242 |
