Date : 2026-01-15 15:11:08
Directory : c:\ProyectoVehiculos\ProyectoReformasVehiculos
Total : 281 files,  128989 codes, 2797 comments, 7399 blanks, all 139185 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript         |        138 |     59,504 |      2,121 |      4,943 |     66,568 |
| HTML               |         50 |     43,902 |        593 |      2,136 |     46,631 |
| JSON               |         38 |     24,449 |         12 |         48 |     24,509 |
| JavaScript         |          1 |        622 |         41 |        130 |        793 |
| PostCSS            |         49 |        436 |         27 |        114 |        577 |
| JSON with Comments |          1 |         39 |          2 |          1 |         42 |
| Markdown           |          2 |         37 |          0 |         25 |         62 |
| SCSS               |          2 |          0 |          1 |          2 |          3 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                 | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                    |        281 |    128,989 |      2,797 |      7,399 |    139,185 |
| . (Files)                                                                                                                                                            |          3 |        235 |          0 |          3 |        238 |
| backend                                                                                                                                                              |         19 |      6,532 |         41 |        134 |      6,707 |
| backend (Files)                                                                                                                                                      |          8 |      1,937 |         41 |        133 |      2,111 |
| backend\memorias_tecnicas                                                                                                                                            |          1 |         60 |          0 |          0 |         60 |
| backend\proyectos                                                                                                                                                    |          9 |      4,416 |          0 |          1 |      4,417 |
| backend\proyectos\125_2025                                                                                                                                           |          1 |        646 |          0 |          0 |        646 |
| backend\proyectos\126_2025                                                                                                                                           |          1 |        467 |          0 |          0 |        467 |
| backend\proyectos\18_2025                                                                                                                                            |          1 |        518 |          0 |          0 |        518 |
| backend\proyectos\19_2025                                                                                                                                            |          1 |        427 |          0 |          0 |        427 |
| backend\proyectos\20_2025                                                                                                                                            |          1 |        471 |          0 |          1 |        472 |
| backend\proyectos\2_2026                                                                                                                                             |          1 |        484 |          0 |          0 |        484 |
| backend\proyectos\3_2026                                                                                                                                             |          1 |        462 |          0 |          0 |        462 |
| backend\proyectos\42_2025                                                                                                                                            |          1 |        425 |          0 |          0 |        425 |
| backend\proyectos\4_2026                                                                                                                                             |          1 |        516 |          0 |          0 |        516 |
| backend\viviendas                                                                                                                                                    |          1 |        119 |          0 |          0 |        119 |
| reformas-app                                                                                                                                                         |        259 |    122,222 |      2,756 |      7,262 |    132,240 |
| reformas-app (Files)                                                                                                                                                 |          7 |     16,934 |          6 |         30 |     16,970 |
| reformas-app\projects                                                                                                                                                |        135 |     49,874 |      1,436 |      3,368 |     54,678 |
| reformas-app\projects\reformas-clientes                                                                                                                              |         44 |     17,361 |        282 |      1,161 |     18,804 |
| reformas-app\projects\reformas-clientes (Files)                                                                                                                      |          2 |         27 |          4 |          2 |         33 |
| reformas-app\projects\reformas-clientes\src                                                                                                                          |         42 |     17,334 |        278 |      1,159 |     18,771 |
| reformas-app\projects\reformas-clientes\src (Files)                                                                                                                  |          3 |         19 |          1 |          4 |         24 |
| reformas-app\projects\reformas-clientes\src\app                                                                                                                      |         36 |     16,851 |        277 |      1,144 |     18,272 |
| reformas-app\projects\reformas-clientes\src\app (Files)                                                                                                              |          6 |         76 |          4 |         20 |        100 |
| reformas-app\projects\reformas-clientes\src\app\funciones                                                                                                            |          1 |        965 |         11 |         52 |      1,028 |
| reformas-app\projects\reformas-clientes\src\app\interfaces                                                                                                           |          1 |        611 |          0 |         23 |        634 |
| reformas-app\projects\reformas-clientes\src\app\pages                                                                                                                |         24 |     15,154 |        262 |      1,031 |     16,447 |
| reformas-app\projects\reformas-clientes\src\app\pages\crear-reforma                                                                                                  |          4 |        506 |         24 |         77 |        607 |
| reformas-app\projects\reformas-clientes\src\app\pages\finalizar-reforma                                                                                              |          4 |        404 |         15 |         60 |        479 |
| reformas-app\projects\reformas-clientes\src\app\pages\formulario-proyecto                                                                                            |          4 |        575 |          7 |         52 |        634 |
| reformas-app\projects\reformas-clientes\src\app\pages\imagenes                                                                                                       |          4 |      3,164 |         68 |        205 |      3,437 |
| reformas-app\projects\reformas-clientes\src\app\pages\resumen-modificaciones                                                                                         |          4 |      8,145 |        107 |        468 |      8,720 |
| reformas-app\projects\reformas-clientes\src\app\pages\tipo-vehiculo                                                                                                  |          4 |      2,360 |         41 |        169 |      2,570 |
| reformas-app\projects\reformas-clientes\src\app\services                                                                                                             |          4 |         45 |          0 |         18 |         63 |
| reformas-app\projects\reformas-clientes\src\assets                                                                                                                   |          3 |        464 |          0 |         11 |        475 |
| reformas-app\projects\reformas-test                                                                                                                                  |         91 |     32,513 |      1,154 |      2,207 |     35,874 |
| reformas-app\projects\reformas-test (Files)                                                                                                                          |          2 |         27 |          4 |          2 |         33 |
| reformas-app\projects\reformas-test\src                                                                                                                              |         89 |     32,486 |      1,150 |      2,205 |     35,841 |
| reformas-app\projects\reformas-test\src (Files)                                                                                                                      |          4 |         24 |          2 |          7 |         33 |
| reformas-app\projects\reformas-test\src\app                                                                                                                          |         82 |     31,998 |      1,148 |      2,187 |     35,333 |
| reformas-app\projects\reformas-test\src\app (Files)                                                                                                                  |         10 |        446 |         20 |         58 |        524 |
| reformas-app\projects\reformas-test\src\app\Funciones                                                                                                                |          2 |      7,063 |        403 |        574 |      8,040 |
| reformas-app\projects\reformas-test\src\app\formulario-taller                                                                                                        |          4 |        367 |          3 |         37 |        407 |
| reformas-app\projects\reformas-test\src\app\generador-documentos                                                                                                     |          4 |        383 |          8 |         49 |        440 |
| reformas-app\projects\reformas-test\src\app\generadores                                                                                                              |          5 |      9,492 |        233 |        437 |     10,162 |
| reformas-app\projects\reformas-test\src\app\gestionar-ingeniero                                                                                                      |          4 |        393 |          3 |         38 |        434 |
| reformas-app\projects\reformas-test\src\app\interfaces                                                                                                               |          1 |        478 |          0 |         17 |        495 |
| reformas-app\projects\reformas-test\src\app\pages                                                                                                                    |         48 |     13,331 |        478 |        959 |     14,768 |
| reformas-app\projects\reformas-test\src\app\pages\canva                                                                                                              |          4 |        432 |         30 |         66 |        528 |
| reformas-app\projects\reformas-test\src\app\pages\cocheono                                                                                                           |          4 |        176 |         14 |         31 |        221 |
| reformas-app\projects\reformas-test\src\app\pages\crear-reforma                                                                                                      |          4 |        856 |         49 |        111 |      1,016 |
| reformas-app\projects\reformas-test\src\app\pages\editar-reforma                                                                                                     |          4 |        246 |          6 |         34 |        286 |
| reformas-app\projects\reformas-test\src\app\pages\formulario-proyecto                                                                                                |          4 |        934 |         12 |         84 |      1,030 |
| reformas-app\projects\reformas-test\src\app\pages\home                                                                                                               |          4 |         31 |          0 |         11 |         42 |
| reformas-app\projects\reformas-test\src\app\pages\imagenes                                                                                                           |          4 |        421 |         15 |         54 |        490 |
| reformas-app\projects\reformas-test\src\app\pages\mostrar-secciones                                                                                                  |          4 |        191 |          8 |         28 |        227 |
| reformas-app\projects\reformas-test\src\app\pages\reformas-previas                                                                                                   |          4 |        113 |          1 |         24 |        138 |
| reformas-app\projects\reformas-test\src\app\pages\resumen-modificaciones                                                                                             |          4 |      8,590 |        294 |        403 |      9,287 |
| reformas-app\projects\reformas-test\src\app\pages\seleccion-secciones                                                                                                |          4 |        120 |          0 |         24 |        144 |
| reformas-app\projects\reformas-test\src\app\pages\tipo-vehiculo                                                                                                      |          4 |      1,221 |         49 |         89 |      1,359 |
| reformas-app\projects\reformas-test\src\app\services                                                                                                                 |          4 |         45 |          0 |         18 |         63 |
| reformas-app\projects\reformas-test\src\assets                                                                                                                       |          3 |        464 |          0 |         11 |        475 |
| reformas-app\src                                                                                                                                                     |        117 |     55,414 |      1,314 |      3,864 |     60,592 |
| reformas-app\src (Files)                                                                                                                                             |          3 |         33 |          1 |          7 |         41 |
| reformas-app\src\app                                                                                                                                                 |        111 |     54,917 |      1,313 |      3,846 |     60,076 |
| reformas-app\src\app (Files)                                                                                                                                         |         10 |        550 |          4 |         73 |        627 |
| reformas-app\src\app\Funciones                                                                                                                                       |          2 |      8,065 |        465 |        854 |      9,384 |
| reformas-app\src\app\formulario-taller                                                                                                                               |          4 |        341 |          7 |         49 |        397 |
| reformas-app\src\app\generador-documentos                                                                                                                            |          4 |        579 |          1 |         74 |        654 |
| reformas-app\src\app\generadores                                                                                                                                     |          5 |     10,015 |        242 |        469 |     10,726 |
| reformas-app\src\app\gestionar-arquitectos                                                                                                                           |          4 |        355 |          8 |         53 |        416 |
| reformas-app\src\app\gestionar-ingeniero                                                                                                                             |          4 |        373 |          8 |         53 |        434 |
| reformas-app\src\app\interfaces                                                                                                                                      |          1 |        740 |          0 |         70 |        810 |
| reformas-app\src\app\pages                                                                                                                                           |         56 |     23,578 |        291 |      1,522 |     25,391 |
| reformas-app\src\app\pagesVivienda                                                                                                                                   |         17 |     10,276 |        287 |        611 |     11,174 |
| reformas-app\src\app\pagesVivienda\funciones                                                                                                                         |          1 |      5,593 |        259 |        297 |      6,149 |
