Date : 2025-09-05 12:38:25
Directory : c:\ProyectoVehiculos\ProyectoReformasVehiculos
Total : 100 files,  43182 codes, 968 comments, 1561 blanks, all 45711 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |         20 |     18,814 |          4 |         20 |     18,838 |
| TypeScript         |         44 |     14,983 |        614 |      1,178 |     16,775 |
| HTML               |         16 |      8,996 |        325 |        260 |      9,581 |
| JavaScript         |          1 |        181 |         15 |         39 |        235 |
| PostCSS            |         16 |        146 |          8 |         38 |        192 |
| Markdown           |          2 |         37 |          0 |         25 |         62 |
| JSON with Comments |          1 |         25 |          2 |          1 |         28 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                      | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                         |        100 |     43,182 |        968 |      1,561 |     45,711 |
| . (Files)                                                                                                                                 |          3 |        215 |          0 |          3 |        218 |
| backend                                                                                                                                   |         11 |      2,943 |         15 |         41 |      2,999 |
| backend (Files)                                                                                                                           |          5 |      1,252 |         15 |         41 |      1,308 |
| backend\proyectos                                                                                                                         |          6 |      1,691 |          0 |          0 |      1,691 |
| backend\proyectos\1_2025                                                                                                                  |          1 |        273 |          0 |          0 |        273 |
| backend\proyectos\1_2026                                                                                                                  |          1 |        273 |          0 |          0 |        273 |
| backend\proyectos\2_2025                                                                                                                  |          1 |        301 |          0 |          0 |        301 |
| backend\proyectos\2_2026                                                                                                                  |          1 |        274 |          0 |          0 |        274 |
| backend\proyectos\3_2025                                                                                                                  |          1 |        296 |          0 |          0 |        296 |
| backend\proyectos\3_2026                                                                                                                  |          1 |        274 |          0 |          0 |        274 |
| reformas-app                                                                                                                              |         86 |     40,024 |        953 |      1,517 |     42,494 |
| reformas-app (Files)                                                                                                                      |          7 |     15,435 |          6 |         30 |     15,471 |
| reformas-app\src                                                                                                                          |         79 |     24,589 |        947 |      1,487 |     27,023 |
| reformas-app\src (Files)                                                                                                                  |          3 |         24 |          1 |          6 |         31 |
| reformas-app\src\app                                                                                                                      |         73 |     24,101 |        946 |      1,470 |     26,517 |
| reformas-app\src\app (Files)                                                                                                              |          6 |        112 |          5 |         21 |        138 |
| reformas-app\src\app\Funciones                                                                                                            |          2 |      5,860 |        392 |        453 |      6,705 |
| reformas-app\src\app\formulario-taller                                                                                                    |          4 |        268 |          8 |         33 |        309 |
| reformas-app\src\app\generador-documentos                                                                                                 |          4 |        249 |         32 |         33 |        314 |
| reformas-app\src\app\generadores                                                                                                          |          4 |      5,952 |        122 |        265 |      6,339 |
| reformas-app\src\app\interfaces                                                                                                           |          1 |        451 |          0 |         11 |        462 |
| reformas-app\src\app\pages                                                                                                                |         48 |     11,164 |        387 |        636 |     12,187 |
| reformas-app\src\app\pages\canva                                                                                                          |          4 |        393 |         22 |         54 |        469 |
| reformas-app\src\app\pages\cocheono                                                                                                       |          4 |        176 |         14 |         31 |        221 |
| reformas-app\src\app\pages\crear-reforma                                                                                                  |          4 |        581 |         18 |         68 |        667 |
| reformas-app\src\app\pages\editar-reforma                                                                                                 |          4 |         27 |          0 |         11 |         38 |
| reformas-app\src\app\pages\formulario-proyecto                                                                                            |          4 |        849 |          9 |         68 |        926 |
| reformas-app\src\app\pages\home                                                                                                           |          4 |         31 |          0 |         11 |         42 |
| reformas-app\src\app\pages\imagenes                                                                                                       |          4 |        386 |         48 |         48 |        482 |
| reformas-app\src\app\pages\mostrar-secciones                                                                                              |          4 |        180 |          0 |         24 |        204 |
| reformas-app\src\app\pages\reformas-previas                                                                                               |          4 |        106 |          0 |         22 |        128 |
| reformas-app\src\app\pages\resumen-modificaciones                                                                                         |          4 |      7,256 |        256 |        213 |      7,725 |
| reformas-app\src\app\pages\seleccion-secciones                                                                                            |          4 |        117 |          0 |         24 |        141 |
| reformas-app\src\app\pages\tipo-vehiculo                                                                                                  |          4 |      1,062 |         20 |         62 |      1,144 |
| reformas-app\src\app\services                                                                                                             |          4 |         45 |          0 |         18 |         63 |
| reformas-app\src\assets                                                                                                                   |          3 |        464 |          0 |         11 |        475 |
+-------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                  | language           | code       | comment    | blank      | total      |
